Fuente,Tipo,Tipo Colav,Entidad Actual,COAR Contolled Vocabularies for Repositories,Tab interface,link impactu,% sobre artículos Udea,count,Notas
scienti,1: Producción bibliográfica 1Z: Otra producción bibliográfica 1Z4: Prólogo ,Otro,works,,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Pr%C3%B3logo_1Z4,0.23,,Prioridad OpenAlex
scienti,1: Producción bibliográfica 1Z: Otra producción bibliográfica 1Z9: Otra ,Otro,works,,productos,,,,
scienti,2: Producción técnica 21: Softwares 211: Computacional ,,,,,,,,
scienti,2: Producción técnica 21: Softwares 212: Multimedia ,,,,,,,,
scienti,2: Producción técnica 21: Softwares 219: Otra ,,,,,,,,
scienti,2: Producción técnica 22: Productos tecnológicos 225: Gen Clonado ,,,,,,,,
scienti,2: Producción técnica 22: Productos tecnológicos 226: Base de datos de referencia para investigacion ,,,,,,,,
scienti,2: Producción técnica 22: Productos tecnológicos 227: Coleccion biologica de referencia con informacion sistematizada ,,,,,,,,
scienti,2: Producción técnica 22: Productos tecnológicos 229: Otro  ,,,,,,,,
scienti,2: Producción técnica 23: Innovación de proceso o procedimiento  ,,works_misc,,,,,6651,
scienti,2: Producción técnica 24: Consultoría Científico Tecnológica e Informe Técnico 241: Servicios de Proyectos de I+D+I ,,,,,,,,
scienti,2: Producción técnica 24: Consultoría Científico Tecnológica e Informe Técnico 242: Acciones de transferencia tecnológica ,,,,,,,,
scienti,2: Producción técnica 24: Consultoría Científico Tecnológica e Informe Técnico 243: Comercialización de tecnología ,,,,,,,,
scienti,2: Producción técnica 24: Consultoría Científico Tecnológica e Informe Técnico 244: Desarrollo de productos ,,,,,,,,
scienti,2: Producción técnica 24: Consultoría Científico Tecnológica e Informe Técnico 245: Informe técnico ,Informe técnico,works,Controlled Vocabularies for Repositories: technical report,productos,,,,"Ejemplo. Corresponde a Minciencias  ""Apropiación social del conocimiento y divulgación pública de la ciencia:   Informe técnico final"""
scienti,2: Producción técnica 24: Consultoría Científico Tecnológica e Informe Técnico 246: Análisis de competitividad ,,,,,,,,
scienti,2: Producción técnica 24: Consultoría Científico Tecnológica e Informe Técnico 247: Implementación de sistemas de análisis ,,,,,,,,
scienti,"2: Producción técnica 24: Consultoría Científico Tecnológica e Informe Técnico 248: Consultoría en artes, arquitectura y diseño ",,,,,,,,
scienti,2: Producción técnica 24: Consultoría Científico Tecnológica e Informe Técnico 249: Otra ,,,,,,,,
scienti,"2: Producción técnica 25: Regulación, norma, reglamento o legislación 251: Social ",,,,,,,,
scienti,"2: Producción técnica 25: Regulación, norma, reglamento o legislación 252: Educativa ",,,,,,,,
scienti,"2: Producción técnica 25: Regulación, norma, reglamento o legislación 253: Ambiental o de Salud ",,,,,,,,
scienti,"2: Producción técnica 25: Regulación, norma, reglamento o legislación 254: Técnica ",,,,,,,,
scienti,"2: Producción técnica 25: Regulación, norma, reglamento o legislación 254: Técnica 2541: Básica",,,,,,,,
scienti,"2: Producción técnica 25: Regulación, norma, reglamento o legislación 254: Técnica 2542: Terminología",,,,,,,,
scienti,"2: Producción técnica 25: Regulación, norma, reglamento o legislación 254: Técnica 2543: Ensayo",,,,,,,,
scienti,"2: Producción técnica 25: Regulación, norma, reglamento o legislación 254: Técnica 2544: Producto",,,,,,,,
scienti,"2: Producción técnica 25: Regulación, norma, reglamento o legislación 254: Técnica 2545: Proceso",,,,,,,,
